Metrics for Vertices: 2750, Edges:18000, Clusters:9, Terminals: 8, HubSize: 12, HubEdges: 12, Budget: 11
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
11,9,11030,18000,2750_ by the IloAlgorithm8_11_(0),12,12,1,11,8,2750
11,9,11249,18000,2750_ by the IloAlgorithm8_11_(1),12,12,1,11,8,2750
11,9,30925,18000,2750_ by the IloAlgorithm8_11_(2),12,12,1,11,8,2750
11,9,10441,18000,2750_ by the IloAlgorithm8_11_(3),12,12,1,11,8,2750
11,9,10876,18000,2750_ by the IloAlgorithm8_11_(4),12,12,1,11,8,2750
11,9,29245,18000,2750_ by the IloAlgorithm8_11_(5),12,12,1,11,8,2750
11,9,10872,18000,2750_ by the IloAlgorithm8_11_(6),12,12,1,11,8,2750
11,9,11375,18000,2750_ by the IloAlgorithm8_11_(7),12,12,1,11,8,2750
11,9,11854,18000,2750_ by the IloAlgorithm8_11_(8),12,12,1,11,8,2750
11,9,32889,18000,2750_ by the IloAlgorithm8_11_(9),12,12,1,11,8,2750